reading	kind	characters	surfaces	parts_of_speech	allocations	school_source_count	school_sources	japanese_education_source_count	japanese_education_sources	auto_rule_failures	selected
ちっぷ	normal	3	tip（心づけ）,tip（野球用語）	名,名・ス自	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちっぽけ	normal	4		名	1	2	新阪本,阪本	1	木幡	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちてい	normal	3	地底	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちてん	terminal	3	地点	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちとく	normal	3	知徳	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちどめ	normal	3	血止め	名	1	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちどめぐすり	normal	6	血止め薬	名	1	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちどり	normal	3	千鳥	名	1	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちなみ	normal	3	△因	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちねつ	normal	3	地熱	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちのう	normal	3	知能・×智能	名	3	4	児言研,国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちのけ	normal	3	血の気	名	3	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちのみご	normal	4	乳飲み子・乳×呑み子	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちはい	normal	3	遅配	名・ス自他	3	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちばなれ	normal	4	乳離れ	名	3	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちひょう	normal	4	地表	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちび	normal	2		名	1	2	新阪本,阪本	1	木幡	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちびっこ	normal	4		名	1	1	新阪本	1	木幡	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちふす	normal	3	〔独〕Typhus	名	1	3	新阪本,池原,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちぶさ	normal	3	乳房	名	1	3	新阪本,田中,阪本	1	木幡	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちへいせん	terminal	5	地平線	名	2	2	新阪本,阪本	2	工藤,木幡	school-source-count-3	unreviewed
ちほ	normal	2	地歩	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちほう	normal	3	地方	名	2	5	中央,国語研,新阪本,田中,阪本	4	七種対照,国語研,工藤,木幡		excluded
ちほうしょく	normal	6	地方色	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちぼう	normal	3	知謀・×智謀	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちまき	normal	3	×粽	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちまた	normal	3	×巷	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちまなこ	normal	4	血眼	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちみ	normal	2	地味	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちめい	normal	3	地名,知名	名	2	3	国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちめいしょう	normal	6	致命傷	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃいむ	normal	4	chime	名	3	1	新阪本	2	工藤,木幡	school-source-count-3	unreviewed
ちゃいろ	normal	4	茶色	名	1	6	中央,国語研,新阪本,池原,田中,阪本	6	七種対照,初級500語,国語研,工藤,木幡,玉村		auto-selected
ちゃか	normal	3	茶菓	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃがし	normal	4	茶菓子	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃがま	normal	4	茶×釜	名	1	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃがら	normal	4	茶殼	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃき	normal	3	茶器	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃきちゃき	normal	6		名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃく	normal	3	着	名・接尾	1	5	中央,国語研,新阪本,池原,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
ちゃくい	normal	4	着意	名・ス自	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃくがん	terminal	5	着眼	名・ス自	3	2	児言研,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃくざ	normal	4	着座	名・ス自	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃくし	normal	4	嫡子	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃくしょく	normal	6	着色	名・ス自	2	2	国語研,阪本	1	国語研	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃくじつ	normal	5	着実	名・形動	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃくせき	normal	5	着席	名・ス自	2	3	国語研,新阪本,阪本	3	国語研,工藤,木幡		auto-selected
ちゃくそう	normal	5	着想	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃくにん	terminal	5	着任	名・ス自	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃくふく	normal	5	着服	名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃくもく	normal	5	着目	名・ス自	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃくよう	normal	5	着用	名・ス他	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃくりく	normal	5	着陸	名・ス自	2	2	国語研,阪本	3	国語研,工藤,木幡	school-source-count-3	unreviewed
ちゃしつ	normal	4	茶室	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃだい	normal	4	茶代	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃだんす	normal	5	茶×箪×笥	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃち	normal	3		名	3	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃっく	normal	4	chuck	名	1	1	新阪本	2	工藤,木幡	school-source-count-3	unreviewed
ちゃつみ	normal	4	茶摘み	名	2	2	新阪本,阪本	2	工藤,木幡	school-source-count-3	unreviewed
ちゃづけ	normal	4	茶漬け	名	1	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃどう	normal	4	茶道	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃのま	normal	4	茶の間	名	1	3	国語研,田中,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃのゆ	normal	4	茶の湯	名	3	2	新阪本,阪本	1	玉村	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃびん	terminal	4	茶瓶	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃぶだい	normal	5	△卓×袱台	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃぼ	normal	3	〔越〕〈×矮鶏〉	名	1	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃみせ	normal	4	茶店	名	1	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
