reading	kind	characters	surfaces	parts_of_speech	allocations	school_source_count	school_sources	japanese_education_source_count	japanese_education_sources	auto_rule_failures	selected
かりゅうど	normal	5	狩△人	名	1	3	新阪本,田中,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かりょう	normal	4	科料	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かりょく	normal	4	火力	名	2	1	阪本	1	七種対照	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かるいし	normal	4	軽石	名	1	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かるくち	normal	4	軽口	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かるしうむ	normal	5	〔蘭〕calcium	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かるた	normal	3	〔葡〕carta	名	1	5	国語研,新阪本,池原,田中,阪本	4	国語研,工藤,木幡,玉村		auto-selected
かるたとり	normal	5	カルタ取り	名	1	1	池原	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かるて	normal	3	〔独〕Karte	名	3	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かるはずみ	normal	5	軽はずみ	名・形動	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かるわざ	normal	4	軽業	名	1	2	新阪本,阪本	1	木幡	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かれい	normal	3	×鰈,華麗	名,名・形動	2,3	3	新阪本,田中,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かれえだ	normal	4	枯れ枝	名	1	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かれき	normal	3	枯れ木	名	1	2	池原,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かれくさ	normal	4	枯れ草	名	1	3	池原,田中,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かれし	normal	3	彼氏	名	2	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かれの	normal	3	枯れ野	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かれは	normal	3	枯れ葉	名	1	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かれんと	normal	4	current	名	3	1	児言研	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かれーらいす	normal	6	←curry and rice	名	2	1	新阪本	2	工藤,木幡	school-source-count-3	unreviewed
かろう	normal	3	家老,過労	名	3	3	国語研,新阪本,阪本	3	七種対照,国語研,玉村		auto-selected
かわ	normal	2	側,川・河,皮・革	名	1	6	中央,国語研,新阪本,池原,田中,阪本	6	七種対照,初級500語,国語研,工藤,木幡,玉村		auto-selected
かわうお	normal	4	川魚	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわうそ	normal	4	川×獺・×獺	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわおび	normal	4	皮帯・革帯	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわかぜ	normal	4	川風	名	1	1	阪本	2	工藤,木幡	school-source-count-3	unreviewed
かわかみ	normal	4	川上	名	1	4	新阪本,池原,田中,阪本	1	木幡	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわき	normal	3	乾き・渇き	名	1	2	新阪本,阪本	1	木幡	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわきり	normal	4	皮切り	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわぎし	normal	4	川岸・河岸	名	1	3	池原,田中,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわぐち	normal	4	川口	名	2	1	阪本	1	木幡	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわぐつ	normal	4	革靴・皮靴・革×沓	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわざんよう	normal	6	皮算用	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわしも	normal	4	川下	名	1	4	新阪本,池原,田中,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわず	normal	3	×蛙	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわせ	normal	3	《為替》	名	3	4	国語研,新阪本,田中,阪本	4	七種対照,国語研,工藤,玉村		auto-selected
かわせみ	normal	4	川×蝉・〈×翡×翠〉	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわぞこ	normal	4	川底	名	1	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわづたい	normal	5	川伝い	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわどこ	normal	4	川床	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわばた	normal	4	川端	名	1	2	池原,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわびらき	normal	5	川開き	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわべ	normal	3	川辺	名	1	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわむかい	normal	5	川向かい	名	1	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわむこう	normal	5	川向こう	名	1	2	新阪本,阪本	1	木幡	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわや	normal	3	×厠	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわら	normal	3	《川原》・《河原》,〔梵〕×瓦	名	1	6	中央,国語研,新阪本,池原,田中,阪本	3	七種対照,国語研,木幡		auto-selected
かわらけ	normal	4	〈土器〉	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわらぶき	normal	5	×瓦×葺き	名	1	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわり	normal	3	代わり・替わり,変わり	名	1	4	中央,国語研,新阪本,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
かわりばえ	normal	5	代わり映え	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわりばん	terminal	5	代わり番・替わり番	名	1	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かわりばんこ	normal	6	代わり番こ	名	1	4	新阪本,池原,田中,阪本	2	工藤,木幡		auto-selected
かわりもの	normal	5	変わり者	名	1	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かん	terminal	2	勘,官,寒,巻,棺,漢,管,缶・×罐,艦,観,貫,間,館	名,名・接尾	1,2,3	4	中央,国語研,新阪本,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
かんあん	terminal	4	勘案	名・ス他	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんい	normal	3	官位,簡易	名,名・形動	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんいっぱつ	normal	6	間一髪	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんおう	normal	4	観桜	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんおけ	normal	4	棺×桶	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんおん	terminal	4	漢音	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんか	normal	3	感化,看過,管下,閑暇	名,名・ス他	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんかい	normal	4	感懐	名	3	1	児言研	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんかく	normal	4	感覚,間隔	名	2	6	中央,児言研,国語研,新阪本,田中,阪本	4	七種対照,国語研,工藤,玉村		auto-selected
かんかつ	normal	4	管轄	名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんかん	terminal	4	感官	名	2	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんがい	normal	4	×潅×漑,感慨	名,名・ス他	3	4	児言研,国語研,新阪本,阪本	2	七種対照,国語研		auto-selected
かんがえ	normal	4	考え	名	1	5	中央,国語研,新阪本,池原,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
かんがえごと	normal	6	考え事	名	1	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんがえもの	normal	6	考え物	名	1	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんがく	normal	4	漢学	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんがん	terminal	4	汗顔	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんき	normal	3	喚起,寒気,換気,歓喜	名,名・ス他,名・ス自	3	3	児言研,新阪本,阪本	2	工藤,木幡		auto-selected
かんきゃく	normal	5	観客,閑却	名,名・ス他	2,3	4	中央,国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんきゅう	normal	5	感泣,緩急	名,名・ス自	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんきょう	normal	5	感興,環境	名	3	5	中央,児言研,国語研,新阪本,阪本	2	七種対照,国語研		auto-selected
かんきん	terminal	4	監禁	名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぐん	terminal	4	官軍	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんけい	normal	4	関係	名・ス自	2	6	中央,児言研,国語研,新阪本,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
かんけつ	normal	4	完結,簡潔	名・ス自,名・形動	3	4	児言研,新阪本,田中,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんけつせん	terminal	6	間欠泉・間×歇泉	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんけん	terminal	4	官憲	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんげい	normal	4	歓迎	名・ス他	2	5	中央,国語研,新阪本,田中,阪本	4	七種対照,国語研,工藤,玉村		auto-selected
かんげいこ	normal	5	寒×稽古	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんげき	normal	4	感激	名・ス自	2	5	中央,国語研,新阪本,田中,阪本	3	国語研,工藤,木幡		auto-selected
かんげん	terminal	4	換言,甘言,管弦・管×絃,還元	名,名・ス他,名・ス自他	3	3	児言研,新阪本,阪本	1	七種対照	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんげんがく	normal	6	管弦楽・管×絃楽	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんこ	normal	3	歓呼	名・ス自	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんこう	normal	4	刊行,感光,慣行,敢行,観光	名,名・ス他,名・ス自	2,3	5	中央,児言研,国語研,新阪本,阪本	3	七種対照,国語研,玉村		auto-selected
かんこく	normal	4	×韓国,勧告	名,名・ス他	3	4	児言研,国語研,新阪本,阪本	3	国語研,工藤,玉村		auto-selected
かんこどり	normal	5	閑古鳥	名	3	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんご	normal	3	漢語,看護	名,名・ス他	2	4	児言研,国語研,新阪本,阪本	4	七種対照,国語研,工藤,玉村		auto-selected
かんごく	normal	4	監獄	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんごふ	normal	4	看護婦	名	1	4	国語研,新阪本,田中,阪本	4	七種対照,国語研,工藤,木幡		auto-selected
かんさ	normal	3	監査	名・ス他	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんさい	normal	4	関西	名	2	2	国語研,阪本	2	七種対照,国語研	school-source-count-3	unreviewed
かんさく	normal	4	間作	名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんさつ	normal	4	観察,鑑札	名,名・ス他	1,3	7	中央,児言研,国語研,新阪本,池原,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
かんさん	terminal	4	換算,閑散	名,名・ス他	3	4	児言研,国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんざし	normal	4	×簪	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんし	normal	3	漢詩,監視	名,名・ス他	3	5	中央,児言研,国語研,新阪本,阪本	3	国語研,工藤,木幡		auto-selected
かんしき	normal	4	鑑識	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんしつ	normal	4	乾湿	名	3	1	児言研	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんしゃく	normal	5	×癇×癪	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんしゅう	normal	5	慣習,監修,観衆	名,名・ス他	2,3	4	児言研,国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんしょう	normal	5	勧奨,干渉,感傷,緩衝,観賞,鑑賞	名,名・ス他,名・ス自	3	5	中央,児言研,国語研,新阪本,阪本	2	七種対照,国語研		auto-selected
かんしょく	normal	5	官職,感触,間食	名,名・ス自	2,3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんしん	terminal	4	寒心,感心,歓心,関心	名,名・ス自・形動	1,3	7	中央,児言研,国語研,新阪本,池原,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
かんじ	normal	3	幹事,感じ,漢字	名	1,3	7	中央,児言研,国語研,新阪本,池原,田中,阪本	6	七種対照,初級500語,国語研,工藤,木幡,玉村		auto-selected
かんじゃく	normal	5	閑寂	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんじゅせい	normal	6	感受性	名	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんじょう	normal	5	勘定,感情,環状	名,名・ス他	1,2,3	6	中央,児言研,国語研,新阪本,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
かんじん	terminal	4	肝心・肝×腎	名	1	4	中央,国語研,新阪本,阪本	3	七種対照,国語研,木幡		auto-selected
かんすい	normal	4	完遂	名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんすう	normal	4	関数・×函数	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんせい	normal	4	完成,官制,官製,感性,慣性,歓声,閑静	名,名・ス自他,名・形動	2,3	6	中央,児言研,国語研,新阪本,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
かんせき	normal	4	漢籍	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんせつ	normal	4	関節	名	2	3	国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんせん	terminal	4	官選,幹線,感染,観戦	名,名・ス他,名・ス自	2,3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぜい	normal	4	関税	名	3	2	国語研,阪本	1	国語研	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぜん	terminal	4	完全	名・形動	2	5	中央,児言研,国語研,新阪本,阪本	3	七種対照,国語研,工藤		auto-selected
かんそ	normal	3	簡素	名・形動	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんそう	normal	4	乾燥,乾草,感想	名,名・ス自他	1,2,3	7	中央,児言研,国語研,新阪本,池原,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
かんそく	normal	4	観測	名・ス他	2	6	中央,児言研,国語研,新阪本,田中,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんそん	terminal	4	寒村	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぞう	normal	4	肝臓	名	3	3	国語研,新阪本,阪本	2	七種対照,国語研		auto-selected
かんたい	normal	4	寒帯,歓待・款待,艦隊	名,名・ス他	2,3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんたく	normal	4	干拓	名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんたん	terminal	4	感嘆・感×歎,簡単	名・ス自,名・形動	2,3	5	中央,国語研,新阪本,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
かんだい	normal	4	寛大	名・形動	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんだん	terminal	4	寒暖,歓談,間断	名,名・ス自	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんだんけい	normal	6	寒暖計	名	1	4	国語研,新阪本,田中,阪本	4	七種対照,国語研,工藤,木幡		excluded
かんち	normal	3	関知	名・ス自	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんちがい	normal	5	勘違い	名	3	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんちゅう	normal	5	寒中	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんちょう	normal	5	×潅腸・×浣腸,官庁,干潮,艦長	名	2,3	4	中央,国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんつう	normal	4	貫通	名・ス自他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんづめ	normal	4	缶詰め	名	1	4	国語研,新阪本,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
かんてい	normal	4	官邸,鑑定	名,名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんてつ	normal	4	貫徹	名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんてら	normal	4	〔蘭〕kandelaar	名	3	3	新阪本,田中,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんてん	terminal	4	寒天,観点	名	1,3	4	児言研,新阪本,池原,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんでん	terminal	4	感電	名・ス自	3	2	新阪本,阪本	2	工藤,木幡	school-source-count-3	unreviewed
かんでんち	normal	5	乾電池	名	2	2	新阪本,阪本	2	七種対照,玉村	school-source-count-3	unreviewed
かんとう	normal	4	巻頭,敢闘,関東	名,名・ス自	2,3	3	国語研,新阪本,阪本	3	七種対照,国語研,工藤		auto-selected
かんとく	normal	4	感得,監督	名・ス他	2,3	5	中央,国語研,新阪本,田中,阪本	3	七種対照,国語研,玉村		auto-selected
かんど	normal	3	感度	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんどう	normal	4	勘当,感動,間道	名,名・ス他,名・ス自	2,3	6	中央,児言研,国語研,新阪本,田中,阪本	3	国語研,工藤,木幡		auto-selected
かんどうし	normal	5	感動詞	名	2	1	国語研	2	国語研,工藤	school-source-count-3	unreviewed
かんな	normal	3	canna,×鉋	名	1,2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんない	normal	4	管内	名	3	1	阪本	1	七種対照	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんなくず	normal	5	×鉋×屑	名	1	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんなづき	normal	5	神無月	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんにん	terminal	4	堪忍	名・ス自	1	2	新阪本,阪本	1	木幡	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんにんぐ	normal	5	cunning	名・ス自	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぬき	normal	4	×閂	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぬし	normal	4	神主	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんねん	terminal	4	観念	名・ス自他	3	4	児言研,国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんのう	normal	4	完納,官能,感応	名,名・ス他,名・ス自	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんのん	terminal	4	観音	名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんばす	normal	4	canvas	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんばつ	normal	4	×旱×魃・干×魃,間伐	名,名・ス他	3	2	新阪本,阪本	1	七種対照	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんばん	terminal	4	看板	名	1	6	中央,国語研,新阪本,池原,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
かんぱ	normal	3	寒波,看破	名,名・ス他	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぱい	normal	4	乾杯,完敗	名,名・ス自	3	3	国語研,新阪本,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
かんぱん	terminal	4	乾パン,乾板,甲板	名	1,2,3	3	新阪本,池原,阪本	1	木幡	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんび	normal	3	完備	名・ス自他	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんびょう	normal	5	看病	名・ス他	2	4	中央,国語研,新阪本,阪本	4	七種対照,国語研,工藤,木幡		auto-selected
かんぴ	normal	3	官費	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんふる	normal	4	〔蘭〕kamfer	名	3	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぶ	normal	3	幹部,患部	名	2,3	3	国語研,新阪本,阪本	1	国語研	japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぶつ	normal	4	乾物	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぶん	terminal	4	漢文	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぷ	normal	3	還付	名・ス他	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぷう	normal	4	完封,寒風	名,名・ス他	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぷく	normal	4	感服	名・ス自	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぷまさつ	normal	6	乾布摩擦	名	2	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぷん	terminal	4	感奮	名・ス自	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんべつ	normal	4	鑑別	名・ス他	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんべん	terminal	4	勘弁,簡便	名・ス他,名・形動	1,3	2	新阪本,阪本	2	七種対照,木幡	school-source-count-3	unreviewed
かんぼう	normal	4	官房,感冒	名	2,3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぼく	normal	4	×潅木	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぼつ	normal	4	陥没	名・ス自	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぽう	normal	4	官報	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんぽうやく	normal	6	漢方薬	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんまん	terminal	4	干満	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんみん	terminal	4	官民	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんむり	normal	4	冠	名	1	5	国語研,新阪本,池原,田中,阪本	4	国語研,工藤,木幡,玉村		auto-selected
かんめ	normal	3	貫目	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
かんめい	normal	4	感銘・肝銘,簡明	名・ス自,名・形動	3	3	児言研,新阪本,阪本	0		japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
