reading	kind	characters	auto_rule_failures
あだ	normal	2	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あだうち	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あだな	normal	3	school-source-count-3
あっか	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
あっかん	terminal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あっかんじょう	normal	7	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あっけ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あっこう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あっさく	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あっしゅく	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あっせん	terminal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あっとう	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あっぱく	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あっぱれ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あっぷる	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あつかい	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あつがみ	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あつぎ	normal	3	school-source-count-3
あつさ	normal	3	japanese-education-source-count-3-for-2-characters-otherwise-2
あつで	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あつらえ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あつれき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あてこすり	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あてじ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あてっこ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あてつけ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あてはずれ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あとあし	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あとあじ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
